Hospital Name,Address,LATITUDE,LONGITUDE
Fortis Flt.Lt.Rajan Dhall Hospital,"Sector-B, Pocket-I, Aruna Asaf Ali Marg, Vasantkunj",28.520005,77.160133
Saraswati Nursing Home,"B-124, Mount Kailash Opp Dps East Of Kailash",28.557122,77.253836
Max Super Speciality Hospital-Saket,"#2,Press Enclave Road",28.533409,77.21
J.M.S.Batra Hospital,"B-1/5, Janakpuri",28.641485,77.091013
Kukreja Hospital,"D-36, Acharyanketan, Mayur Vihar, Ph",28.672215,77.126463
Dr.Kapur'S The Healing Touch Eye Centre,"D-8, Vikas Puri ,",28.63254,77.180883
Matarooprani Maggo & Mahindru Hospital,"C9, Omvihar Phase 1, Uttamnagar",28.633048,77.050158
Altius Healthcare Pvt Ltd,"#1, Gulshan Park, Main Rohtak Road, Mangloi",28.702032,77.109209
Sharp Sight Centre (East),"# 80-81, Defence Enclave Opp Preet Vihar Petrol Pump Vikas Marg",28.643594,77.292569
Smh-Curie Cancer Hospital,"Shanti Mukand Hospital, #2, Institutional Area, Vikas Marg Ext, Karkatdooma",28.649771,77.302182
Blk Memorial Hospital,"Pusa Road, Near Rajendra Place Metro Station",28.647059,77.180474
Shyam Lal Eye Hospital,Malka Ganj Opp. Hans Raj College,28.678672,77.207963
Drs Northex Eye Institute Pvt Ltd,"C-9/34, First Floor, Sector-7, Rohini",28.709033,77.116979
Daya Hospital,"A-4/16, Paschim Vihar",28.67854,77.111269
Dr.Mukesh Ortho & Trauma Centre,"2374T/21A Mandi Extension Narela, Narela",28.530242,77.184242
Holy Child Nursing Home,C-43-44.East Krishna Nagar,28.662575,77.288964
J.P.Memorial Hospital,"F-189, Dilshad Colony, Near Seemapuri Bus Depot",28.686616,77.327375
Gautam Hospital,"Sco #101, Sec 10-A, Main Market Of Sec 10",28.717388,77.135302
Genesis Hospital Pvt Ltd,C-1/130 Janakpuri,28.627323,77.0814
Dr.Nandas Eye Care Centre,"A-200, Sector-8, Dwarka",28.577889,77.072474
Shreya Eye Centre,"D-163, Surajmal Vihar",28.664533,77.306817
Agrawal Eye Institute,"A-235, Shivalik, Malviya Nagar",28.553164,77.215931
R.S.Grover Memorial Hospital,"B-243, Priyadarshini Vihar",28.661935,77.237231
Action Cancer Hospital,"H-2/Fc-34, A4 Pashim Vihar",28.674926,77.097879
Aastha Hospital,"L-2/50, New Mahavir Nagar Outer Ring Road Near Janakpuri Dist Centre",28.643293,77.0814
Khanna Hospital,"C-2/396, Main Jankhari Road Near Dwarka Turning",28.610747,77.058423
Gupta Multispeciality Hospital,"B-20, Vivek Vihar Ram Mandir",28.668449,77.319797
Gautam Nursing Home & Maternity Centre,"D-2/148, Jeewan Park, Pankha Road, Near Mata Chanan Devi Hospital",28.618583,77.068957
Vision Eye Hospital,"F-24/136, Sector-7, Rohiini Near Ayodhya Chowk",28.721303,77.116419
Shakuntla Nursing Home & Hospital,Rz-I-81 Sagar Pur (West) Near Janak Cinema,28.614966,77.095133
Fortis Hospitals Ltd.(Fortis Hospital Management Ltd),A Block Shalimar Bagh,28.626419,77.370821
Nova Specialty Hospitals Private Limited,A-19 A Kailash Colony,28.553899,77.242595
Rg Stone Urology & Laparoscopy Hospital,"B-1, Vishal Enclave Rajori Garden",28.649658,77.12127
I Care Centre,C-6/9 Safdarjung Development Area,28.549714,77.19938
Jain Muni Roshan Lal Charitable Hospital,"2559 Jain Sthanak Road Tri Nagar, Near Metro Station Kanhiya Nagar Inderlok, Tri Nagartri Nagar",28.676567,77.161573
Mansaram Hospital Pvt Ltd,B-5 Amanpuri Extension Main Najafgarhnangoli,28.653236,77.026322
Sunrise Hospital,Plot No 1 Pkt 8 B Sector 15 Rohini Delhi 110085,28.488005,76.960396
Centre For Sight (Roopnagar),1/2. Roop Nagar,28.744239,77.293772
Centre For Sight (Rajouri),"J-12/30, Rajouri Garden",28.656248,77.120539
Centre For Sight (Rohini),"304-309, Ring Road Mall, Sector-3, Rohini",28.698794,77.115587
K K Surgical & Maternity Center,"B-37, East Jyoti Nagar, Loni Road",28.686371,77.29117
Nova Specialty Hospitals Private Limited,"66 A/2, New Rohtak Road, Karol Bagh",28.658546,77.193586
Apex Citi Hospital (A Unit Of Siddhartha Healthcare Pvt Ltd.),"D-440, West Vinod Nagar, Hanuman Road, I.P. Extension, -, Near Punjab National Bank",28.624874,77.294262
Max Super Speciality Hospital-Shalimar Bagh,"F-50, C & D Block Shalimar Bagh",28.727755,77.152657
Pentamed Hospital,"7 Local Shopping Centre Phase 4, Derawal Nagar, Gujrawala Town",28.707151,77.19195
Max Healthcare Institute,"Max House, 1 Dr.Jha Marg, Okhla",28.573668,77.264683
Mata Chandna Devi Hospital,"A-1, Vikas Nagar, Aastal, Uttamnagar",28.626121,77.045022
Indraprastha Apollo Hospitals,Sarita Vihar Mathura Road,28.548037,77.283617
M.G.S Hospital,"35/37 Rohtak Road, West Punjabi Bagh",28.674116,77.134492
Dr Gupta Nursing Home,"25, Raj Block, Naveen Shahdara",28.676177,77.286544
Jeewan Hospital & Nursing Home Pvt Ltd.,"Gate No 1, 150, Jeevan Nagar",28.580301,77.263018
Bharti Eye Foundation,"1/3, East Patel Nagar",28.654441,77.16142
Rlkc Hospital,"Naraina Road, (Nr Shadipur Metro Station) Pandav Nagar",28.655337,77.160324
Suman Super Speciality Hospital,Plat No 141 Pocket No 4 Sect 7 Binda Pur Dwarka,28.610672,77.065903
Ch. Chhaju Ram Hospital (Aunit Of Holy Touch Healthcare Pvt Ltd),"Wz-1, Om Viha, Uttam Nagar Main Najafgarh Road",28.638849,77.099601
Nayanatara Eye Centre,"B-106, Subhadra Colony",28.681247,77.164763
Vasan Eye Care Hospital - Pusa Road,"36-B, Parvatesh Tower, Pusa Road, Karolbagh, New Delhi - 110060, Delhi",28.64298,77.184429
Vasan Healthcare Pvt. Ltd-Janakpuri,"Piller No-634, Janakpuri",28.625611,77.068378
Vasan Eye Care Hospital-Preet Vihar,"F-14, Opposite Metro Gate No 2, Preet Vihar, New Delhi - 110092, Delhi",28.641791,77.296239
Kosmos Superspeciality Hospital,"C-60, Anand Vihar, Vikasmarg",28.654859,77.310553
